Position (1-based)	Max Base Frequency	Shannon Entropy
1	68487	0.41584576393741246
2	67127	0.4814685557759664
3	47889	0.9422163188812288
4	37622	0.9999698913264913
5	40340	0.9954736760407275
6	40863	0.9939506050052009
7	41065	0.994757127455944
8	41403	0.9922648165790858
9	41804	0.9908197198657036
10	42187	0.9893971367126019
11	42773	0.9877341235497109
12	43259	0.983074904324075
13	43965	0.9937411785824913
14	44244	0.9755424836930401
15	44414	0.9747186741623443
16	44815	0.971711557018166
17	45590	0.9653307319900637
18	46576	0.9563039357266945
19	46592	0.9584297326610207
20	46616	0.9594609875593582
21	36795	1.4304136626037165
22	48085	0.9415664560186361
23	48196	0.9393612327582336
24	48261	0.9382066020322803
25	48333	0.9373706993135176
26	50425	0.9117868083469308
27	50530	0.9100893785688164
28	50535	0.9139938220686338
29	50629	0.9081908621509274
30	50662	0.9069157245091474
31	51430	0.8961669814200296
32	51597	0.8936292059976142
33	51612	0.8963387392638427
34	53152	0.8724853337768036
35	53221	0.8693830457353213
36	53345	0.8752325408316924
37	53403	0.8792773303683
38	53594	0.8651474125536454
39	54521	0.84517236849616
40	55299	0.834275423344093
41	55564	0.8256564673555389
42	55723	0.8224631783117842
43	56009	0.8192493254665011
44	52870	1.0527654776631046
45	56109	0.8184164822384568
46	56286	0.8111214220379982
47	56288	0.8113054982512944
48	56438	0.808787290297594
49	56451	0.8087345802246084
50	56733	0.803163288720034
51	56733	0.8042528956902594
52	56732	0.8054987069779674
53	56729	0.8067876546915568
54	56727	0.8070755392583181
55	58414	0.7650171321652052
56	58425	0.7650843221406142
57	58421	0.7664818864417464
58	58422	0.7664340164485526
59	58407	0.768963734298772
60	58410	0.7684576934068673
61	58347	0.778266400204774
62	60396	0.7145803218595818
63	60385	0.7164249549402958
64	60370	0.7194294404128893
65	60383	0.7170267353054474
66	60330	0.7254500058306096
67	60368	0.7192508903477708
68	60360	0.7199573768587487
69	60351	0.7211494487535115
70	60343	0.7219862124985617
71	60318	0.7255040234976691
72	60292	0.7283745366368356
73	60295	0.727502262487779
74	60267	0.7306823230276198
75	60238	0.734127461119203
76	56226	1.0023032135157637
77	55968	1.0138575806757222
78	55847	1.0196900327964329
79	55896	1.0170299145685116
80	55904	1.0164836826826034
81	55870	1.018166497618992
82	55880	1.0176850062619263
83	55875	1.0187458332569161
84	55847	1.0211531737538229
85	55904	1.0165714435952733
86	55916	1.0160138218771175
87	67525	0.48313762469508464
88	67499	0.4859351201132645
89	67534	0.4821274492172763
90	73903	0.1015488506143811
91	73894	0.10439720004281695
92	73879	0.10507176350457909
93	73914	0.10030468592791902
94	73879	0.10560961855633869
95	73889	0.10390107462130636
96	73913	0.10125281922822033
97	73905	0.10224666681183305
98	73896	0.10387388241010473
99	73906	0.1024183600508462
100	73807	0.1160811961872496
101	73889	0.10520761434559839
102	73926	0.09930401746066056
103	73926	0.099389815239209
104	73927	0.09919758417576521
105	73907	0.10291329500333224
106	73812	0.11574938691475896
107	73939	0.0976286835945743
108	73939	0.09764023851440622
109	73946	0.09689102343462094
110	73938	0.09845513322300065
111	73953	0.0961508763270564
112	73951	0.09649416486555065
113	73953	0.09617535736146968
114	73957	0.09599828939649208
115	73960	0.09544589523067568
116	73960	0.09570126847795153
117	73952	0.09714209077814186
118	73960	0.0955736169406243
119	73950	0.09735800542366169
120	73944	0.09836014123220965
121	73952	0.09714209077814186
122	73960	0.09567451656184554
123	73962	0.09522997536653172
124	73950	0.09772326639294822
125	73965	0.09539946437193947
126	73968	0.09494813932409259
127	73966	0.09565929061013886
128	73978	0.09377281228541565
129	73952	0.09830109234619851
130	73981	0.09344533570449767
131	73983	0.09300078355236946
132	73987	0.09268912918081404
133	73988	0.0925794385628211
134	73985	0.0927542872907949
135	73988	0.09242521591419514
136	73988	0.0925510246925765
137	73989	0.0925829176706085
138	73992	0.09216847728635204
139	73995	0.09183847226882395
140	73936	0.1014573065550507
141	73983	0.09315432619054964
142	73981	0.09338585366123388
143	73957	0.09668426809620108
144	73944	0.09756405931665726
145	73930	0.09885271846247716
146	73904	0.10168058105239916
147	73808	0.11379865755229104
148	73808	0.1111773564338597
149	73653	0.1322188497057134
150	73780	0.1139383770993696
151	73756	0.11742684089505447
152	73774	0.11502273540274305
153	73775	0.1153669183347484
154	73790	0.11296543515611404
155	73794	0.11257280844385581
156	73791	0.11364667692540975
157	73800	0.1123328043753697
158	73852	0.10696747783148611
159	73858	0.10671342370400805
160	73853	0.10784450655247713
161	73859	0.10656373457069143
162	73868	0.10700174718427269
163	73909	0.10119208616707583
164	73913	0.10078382642922218
165	73913	0.10117183598683718
